Reference	LeftContext	Pivot	RightContext
feminin, 46	整夜 的 狗叫 。 她 摩挲 了 一下	金箍棒	， 轻轻 " 哼 " 了 一声 ， 决定 今夜 不 睡
feminin, 49	， 她 已跃下 窗台 ， 无声 落地 ，	金箍棒	握 在 手里 ， 往 院子 中间 走 去 。 月光 下
feminin, 56	砸 来 ， 悟空 侧身 一 躲 ，	金箍棒	反手 横扫 ， 击 在 它 腰侧 ， 那虎 妖 向 旁
feminin, 57	不支 ， 悟空 寻 到 一个 破绽 ，	金箍棒	当头 劈落 ， 轰的一声 ， 那虎 妖 口吐 黑烟 ， 扑倒在 地
feminin, 106	大踏步 走 回 那 女子 跟前 ， 手里	金箍棒	已 捏 得 发白 ， 脸上 却 挂 着 一个 意味 不明
feminin, 109	地 将 罐子 掷 在 地上 ， 抬起	金箍棒	， 二话不说 ， 当头 便 劈 。 " 悟空 ！ " 唐僧
feminin, 114	打死 人 了 。 " 悟空 握 着	金箍棒	， 站 在 原地 ， 望 着 地上 那具 假 尸首 ，
feminin, 123	了 张嘴 ， 终究 没有 再辩 ， 将	金箍棒	往 耳朵 里 一 插 ， 垂着头 跟上去 。 一行 人 继续
feminin, 140	她 告诉 自己 ， 只 需 将 那	金箍棒	的 猴子 骗开 ， 或者 令 那 和尚 误会 她 ， 一切
feminin, 146	脸沉 了 下来 ， 手 已握 上 了	金箍棒	， 深吸 一口气 ， 大步 上前 ， 道 ： " 哟 ，
feminin, 157	终于 压不住 了 ， 腾 地 跃起 ，	金箍棒	当头 劈落 。 那 白骨精 早有 准备 ， 又 使 了解 尸之法
feminin, 174	再 多 看 ， 脚步 甫 一停 ，	金箍棒	便 已 捏 在 手心 ， 眼神 如刀 ， 将 那 老翁
feminin, 187	是 一种 默许 。 悟空 不再 迟疑 ，	金箍棒	高高 举起 ， 轰然 劈落 。 这 一次 她 使出 了 十成
feminin, 303	悄悄 伸向 耳朵 里 ， 随时 可以 取出	金箍棒	。 八戒 站 在 后头 ， 看起来 懒洋洋 的 ， 实则 两只
feminin, 319	师父 一步 ！ " 悟空 已 抡 起	金箍棒	， 劈头盖脸 打 了 下去 ， 那 蝎子 精 盔甲 坚硬 ，
feminin, 322	心中 有 了 计较 ， 一个 腾身 ，	金箍棒	使出 神通 ， 变 作 数条 光影 ， 虚虚实实 地 将 蝎子
feminin, 347	的 东西 ， 随即 又 移开 ， 扬起	金箍棒	搭 在 肩上 ， 大踏步 跟上去 。 八戒 挑着 担子 经过 ，
feminin, 386	那边 。 " 悟空 眼神 一凛 ， 把	金箍棒	已 抓 在 手里 ， 道 ， " 沙 师妹 ， 跟我来
feminin, 392	的 邪祟 之属 。 她 没有 多想 ，	金箍棒	迎风 一变 ， 大喝一声 ， 从天而降 ， 那一棒 势大力沉 ， 正中 那
feminin, 396	！ " 悟 空头 也 不 回 ，	金箍棒	已 和 那 为首 的 妖怪 战在 一处 。 唐僧 被 沙僧
feminin, 398	， 待 她 一个 破绽 露出 来 ，	金箍棒	当胸 一 戳 ， 将 她 逼 退 ， 趁 她 踉跄
feminin, 413	坐在 一块 石头 上 ， 手里 转 着	金箍棒	， 漫不经心 地转 了 几圈 ， 忽然 对 唐僧 道 ： "
feminin, 419	什么 ， 又 咽 了 回去 ， 把	金箍棒	往 肩上 一 搭 ， 仰头望 天 ， 道 ： " 行
manuel, 7	那 女子 是 个 妖精 。 悟空 提起	金箍棒	当头 就 打 。 吓 得 唐僧 用手 挡住 道 ； “
manuel, 9	的 是 步云履 ， 手执 的 是 如意	金箍棒	， 着实 也 威风 得 很 ， 如今 我 头上 勒 了
manuel, 62	知道 唐僧 遭难 了 ， 大圣 拿 着	金箍棒	， 三两步 就 跑 到 前边 ， 看见 那 丝绳 缠 了
manuel, 75	， 你 看看 。 ” 只见 大圣 把	金箍棒	一举 ， 那马 恐怕 打 来 ， 慌得 四只 蹄疾如 飞电 ，
masculin, 18	停 了 片刻 ， 又 落到 悟空 的	金箍棒	上 ， 最后 定 在 猪八戒 那 张大 脸上 ， 猛地 倒吸
masculin, 24	悟空 哈哈 一笑 ， 从 耳朵 里 取出	金箍棒	， 变成 一根 绣花针 ， 放在 小女孩 手 心里 让 她 看
masculin, 62	来 ！ " 悟空 懒洋洋 地一 侧身 ，	金箍棒	不知 何时 已握 在 手中 ， 轻轻 一扫 ， 那 头领 的
masculin, 78	见 一个 雷公 嘴 、 毛脸 ， 手持	金箍棒	的 猴子 立在 他 面前 ， 旁边 站 着 一头 黑胖 的
masculin, 83	熊王 重心 未稳 ， 飞身 而 上 ，	金箍棒	对准 那 铁甲 覆盖 不到 的 颈项 ， 狠狠 击落 ， 熊王
masculin, 119	大踏步 走 回 那 女子 跟前 ， 手里	金箍棒	已 捏 得 发白 ， 脸上 却 挂 着 一个 意味 不明
masculin, 122	地 将 罐子 掷 在 地上 ， 抬起	金箍棒	， 二话不说 ， 当头 便 劈 。 " 悟空 ！ " 唐僧
masculin, 127	打死 人 了 。 " 悟空 握 着	金箍棒	， 站 在 原地 ， 望 着 地上 那具 假 尸首 ，
masculin, 136	了 张嘴 ， 终究 没有 再辩 ， 将	金箍棒	往 耳朵 里 一 插 ， 垂着头 跟上去 。 一行 人 继续
masculin, 154	她 告诉 自己 ， 只 需 将 那	金箍棒	的 猴子 骗开 ， 或者 — — 令 那 和尚 误会 他
masculin, 160	脸沉 了 下来 ， 手 已握 上 了	金箍棒	， 深吸 一口气 ， 大步 上前 ， 道 ： " 哟 ，
masculin, 171	终于 压不住 了 ， 腾 地 跃起 ，	金箍棒	当头 劈落 。 那 白骨精 早有 准备 ， 又 使 了解 尸之法
masculin, 190	再 多 看 ， 脚步 甫 一停 ，	金箍棒	便 已 捏 在 手心 ， 眼神 如刀 ， 将 那 老翁
masculin, 203	是 一种 默许 。 悟空 不再 迟疑 ，	金箍棒	高高 举起 ， 轰然 劈落 。 这 一次 他 使出 了 十成
masculin, 319	悄悄 伸向 耳朵 里 ， 随时 可以 取出	金箍棒	。 八戒 站 在 后头 ， 看起来 懒洋洋 的 ， 实则 两只
masculin, 335	师父 一步 ！ " 悟空 已 抡 起	金箍棒	， 劈头盖脸 打 了 下去 ， 那 蝎子 精 盔甲 坚硬 ，
masculin, 338	心中 有 了 计较 ， 一个 腾身 ，	金箍棒	使出 神通 ， 变 作 数条 光影 ， 虚虚实实 地 将 蝎子
masculin, 363	的 东西 ， 随即 又 移开 ， 扬起	金箍棒	搭 在 肩上 ， 大踏步 跟上去 。 八戒 挑着 担子 经过 ，
