Reference	LeftContext	Pivot	RightContext
feminin, 33	， 深陷 在 泥里 ， 寻常 的 力气	怕	是 踩 不 出来 。 " 悟空 若有所思 ， 用 指节 敲
feminin, 70	， 想 了 想 ， 道 ： "	怕	啊 ， 怎么 不怕 ， 谁 天生 就 不怕 的 ？ "
feminin, 72	？ " 八戒 耸耸肩 ， 道 ： "	怕	归怕 ， 该 打 还是 得 打 ， 要不然 师父 怎么办 ，
feminin, 348	经过 ， 低着头 ， 走得 极快 ， 像是	怕	自己 一 慢下来 ， 便会 看见 什么 不该 看 的 东西 。
feminin, 364	四个 女子 。 想 退回去 吧 ， 又	怕	徒弟 笑话 自己 连个 斋 也 化不来 ， 所以 硬着头皮 往前走 。
manuel, 6	： “ 师父 ， 此山 叫做 蛇 回兽	怕	的 白虎岭 ， 正西 下面 是 我家 。 我 父母 所以 看经
manuel, 7	， 没想到 一下子把 人家 打死 了 ， 他	怕	你 念 什么 紧箍咒 儿 ， 故意 地使 个 障眼法 ， 把
manuel, 27	又 不是 大生 ， 左右 只是 个小产 ，	怕	他 怎 的 ？ 洗洗 干净 。 ” 那婆子 烧 了 些
manuel, 27	！ 没事 ！ 我 又 不是 母猪 ，	怕	他 做 甚 ？ ” 唐僧 和 八戒 打 了 胎气 。
manuel, 35	是 干什么 ？ ” 八戒 说 ： “	怕	是 女王 请 我们 哩 ！ ” 行者 道 ： “ 以
manuel, 46	你 那 雷音寺 里 的 如来佛 也 还	怕	我 哩 ， 量 你 这 两个 毛人 都 上来 也 不
manuel, 59	四个 女子 。 想 退回去 吧 ， 又	怕	徒弟 笑话 自己 连个 斋 也 化不来 ， 所以 ， 硬着头皮 往前走
manuel, 70	！ ” 行者 说 ： “ 兄弟 不要	怕	， 快 上前 打 ， 我 自有办法 。 ” 沙僧 说 ：
manuel, 84	， 要是 把 大 女儿 配 你 ，	怕	二女儿 怪 ， 要 把 二女儿 配 你 ， 又 恐三 女儿
manuel, 84	要 把 三 女儿 给 你 ， 又	怕	大 女儿 怪 ， 所以 难定 。 ” 猪八戒 道 ： “
masculin, 364	经过 ， 低着头 ， 走得 极快 ， 像是	怕	自己 一 慢下来 ， 便会 看见 什么 不该 看 的 东西 。
