Reference	LeftContext	Pivot	RightContext
feminin, 16	边 走边 问道 ： " 几位 这 是	打	哪儿 来 ， 往 哪儿 去 ， 天 这么晚 了 还 在
feminin, 64	疲倦 里 带 着 几分 畅快 ， 是	打	了 一场 恶仗 之后 才 有 的 那种 舒展 。 沙僧 在
feminin, 69	， 仰头 问道 ： " 姐姐 ， 你们	打	妖怪 ， 怕不怕 ？ " 八戒 低头 看 她 ， 想 了
feminin, 71	一下 ， 道 ： " 那 你 还	打	？ " 八戒 耸耸肩 ， 道 ： " 怕 归怕 ， 该
feminin, 72	， 道 ： " 怕 归怕 ， 该	打	还是 得 打 ， 要不然 师父 怎么办 ， 一路上 那些 村子 里
feminin, 72	" 怕 归怕 ， 该 打 还是 得	打	， 要不然 师父 怎么办 ， 一路上 那些 村子 里 的 人 怎么办
feminin, 72	村子 里 的 人 怎么办 ， 总得 有人	打	不是 ？ " 她 说 这话 时 ， 神情 难得 的 正经
feminin, 74	了 有 什么 用 ， 又 不用 你	打	妖怪 — — 好好 念书 ， 比 什么 都 强 。 "
feminin, 126	我 也 说 不好 ， 反正 大 师姐	打	了 就 打 了 ， 我 总 觉得 她 不会 无缘无故 的
feminin, 126	不好 ， 反正 大 师姐 打 了 就	打	了 ， 我 总 觉得 她 不会 无缘无故 的 。 " 她
feminin, 138	鼓着 腮帮子 道 ： " 猴姐 ， 你	打	它 那 一棒 … … 我 是 信 你 的 。 "
feminin, 319	" 悟空 已 抡 起 金箍棒 ， 劈头盖脸	打	了 下去 ， 那 蝎子 精 盔甲 坚硬 ， 棒子 击 在
manuel, 7	个 妖精 。 悟空 提起 金箍棒 当头 就	打	。 吓 得 唐僧 用手 挡住 道 ； “ 悟空 ， 你
manuel, 7	道 ； “ 悟空 ， 你 刚来 就要	打	谁 ？ ” 悟空 说 ： “ 师父 ， 你 面前 的
manuel, 7	使 了 个 解尸法 ， 见 孙悟空 棒子	打	下来 时 ， 她 预先 走 了 ， 把 一个 假 尸首
manuel, 9	就 认出 是 个 妖精 ， 举棒 就	打	， 那 白骨精 又 脱真 形儿 去 了 ， 把 一个 假
manuel, 20	一包 堕胎 的 药 吃 ， 把 胎	打	下来 罢 。 ” 那婆子 道 ： “ 就是 有药 也 不济事
manuel, 23	了 。 孙大圣 赶快 寻 了 个 吊桶	打	水 ， 又 被 那 先生 赶到 ， 用 如意 钩子 把
manuel, 24	。 大圣 想 ， 一个 人 又 要	打	又 要 弄水 看来 太 困难 ， 不如 回去 拉个 帮手 。
manuel, 25	门去 ， 将 桶 向 井 中 满满地	打	了 桶 水 ， 走出 庵门 ， 驾起 云 ， 回到 村舍
manuel, 26	这 一桶 水 ， 连 肠子 肚子 都	打	下来 了 。 ” 唐僧 、 八戒 一人 喝 了 一杯 水
manuel, 27	他 做 甚 ？ ” 唐僧 和 八戒	打	了 胎气 。 剩下 的 水 给 了 那 婆婆 。 婆婆
manuel, 43	“ 贼辈 何为 ？ ” 拿出 宝杖 就	打	。 那 女子 弄 了 一阵风 ， “ 呜 ” 的 一声
manuel, 53	八戒 发狠 道 ： “ 哥哥 ， 咱们	打	那 泼 贱 去 ！ ” 星 官道 ： “ 正是 ，
manuel, 54	山坡 ， 到 琵琶 洞口 连 骂 带	打	。 八戒 的 耙子 好 厉害 ， 几下子 就 把 一门 和
manuel, 62	不知 这是 什么 东西 ， 他 举棒 想	打	又 停 了 手 。 心想 ： 这 东西 要是 硬 的
manuel, 64	跳 下水 去 ， 行者 想 ： 我要	打	她们 ， 只要 把 这 棍子 往池 中 一 搅 ， 就
manuel, 64	低 了 老孙 的 名声 。 我 不	打	她们 ， 只 把 她们 的 衣服 全 拿走 ， 让 她们
manuel, 64	” 行者 道 ： “ 我 是 不	打	她们 ， 你 要 打 ， 你 去 打 罢 。 ”
manuel, 64	我 是 不 打 她们 ， 你 要	打	， 你 去 打 罢 。 ” 八戒 抖擞精神 ， 举着 耙子
manuel, 64	她们 ， 你 要 打 ， 你 去	打	罢 。 ” 八戒 抖擞精神 ， 举着 耙子 直向 那里 奔 去
manuel, 65	下水 去 。 那些 女妖 一齐 上前 要	打	。 哪 知 八戒 水性 极好 ， 到 水里 摇身一变 ， 变成
manuel, 67	走路 。 ” 那些 女妖 见 猪八戒 要	打	， 也 不顾 害臊 ， 忙 从 池中 跳 出来 ， 站
manuel, 70	怪物 一个个 手之舞 之 ， 足之蹈 之 ，	打	将 过来 。 八戒 发狠 举 耙 来 打 。 那些 怪
manuel, 70	将 过来 。 八戒 发狠 举 耙 来	打	。 那些 怪 都 是 些 虫子 蜻蜓 等 变 的 ，
manuel, 70	： “ 兄弟 不要 怕 ， 快 上前	打	， 我 自有办法 。 ” 沙僧 说 ： “ 大哥 ， 有
manuel, 75	只见 大圣 把 金箍棒 一举 ， 那马 恐怕	打	来 ， 慌得 四只 蹄疾如 飞电 ， “ 飕 ” 地 跑
masculin, 10	大 ， 吃 得 多 又 有 什么	打	紧 ？ " 唐僧 忍不住 轻笑 了 一声 ， 随即 敛 了
masculin, 23	奶奶 说 ， 你 虽然 顽皮 ， 但是	打	妖怪 很 厉害 的 。 " 悟空 哈哈 一笑 ， 从 耳朵
masculin, 81	悟空 一棒 当头 抡 下 。 这一仗 ，	打	得 昏天黑地 。 那铁背 熊王 果然 有些 门道 ， 铁甲 坚硬 ，
masculin, 94	" 猴哥 ， 你 说 ， 我 今日	打	得 如何 ？ " 悟空 没有 立刻 答话 ， 走 了 几步
masculin, 139	我 也 说 不好 ， 反正 大 师兄	打	了 就 打 了 ， 我 总 觉得 他 不会 无缘无故 的
masculin, 139	不好 ， 反正 大 师兄 打 了 就	打	了 ， 我 总 觉得 他 不会 无缘无故 的 。 " 他
masculin, 152	鼓着 腮帮子 道 ： " 猴哥 ， 你	打	它 那 一棒 … … 我 是 信 你 的 。 "
masculin, 335	" 悟空 已 抡 起 金箍棒 ， 劈头盖脸	打	了 下去 ， 那 蝎子 精 盔甲 坚硬 ， 棒子 击 在
