Reference	LeftContext	Pivot	RightContext
qw_f_clean, 8	道 ： “ 女 菩萨 ， 出家人 不	打	诳语 。 我 那大 徒弟 去 南山 摘桃 了 ， 我们 不敢
qw_f_clean, 10	放下 钵盂 ， 掣出 铁棒 ， 当头 就	打	。 唐僧 大惊 ， 伸手 去 拦时 ， 哪里 拦得 住 ？
qw_f_clean, 17	妖精 ， 便 不是 人命 。 若 不	打	杀 她 ， 她 就 要害 你 性命 。 ” 唐僧 心中
qw_f_clean, 21	罢 ， 更 不 打话 ， 举棒 便	打	。 那 妖精 故技重施 ， 又 丢下 一具 假尸 ， 真身 逃走
qw_f_clean, 33	日后 性子 野了 ， 连 你 也 敢	打	。 ” 唐僧 闻言 ， 心中 一动 ， 想起 悟空 方才 那般
qw_f_clean, 35	” 悟空 急道 ： “ 师父 ， 我	打	杀 的 是 妖精 ， 又 不是 人 。 若 不 打
qw_f_clean, 35	妖精 ， 又 不是 人 。 若 不	打	杀 她 ， 她 就 要害 你 。 ” 唐僧 道 ：
qw_f_clean, 36	她 是 妖精 ， 为何 前 两次 不	打	杀 她 ， 偏要 第三次 才 下手 ？ 分明 是 你 性起
qw_f_clean, 37	尸法 逃 了 ， 这 一次 我 才	打	得 她 现 了 原形 。 ” 唐僧 道 ： “ 你
qw_f_clean, 213	， 举起 钉 钯 ， 便 向 妖精	打	去 。 妖精 忙 举枪 相迎 。 两人 战经 数合 ， 妖精
qw_f_clean, 214	， 举起 降妖 宝杖 ， 便 向 妖精	打	去 。 妖精 忙 举枪 相迎 。 两人 战经 数合 ， 妖精
qw_f_clean, 243	正 欲 现出 本相 ， 掣出 金箍棒 ，	打	将 出去 ， 却 又 转念 一想 ： “ 且慢 ， 若
qw_f_clean, 243	一想 ： “ 且慢 ， 若 我 此时	打	出去 ， 这 妖精 性急 ， 伤 了 师父 性命 ， 却
qw_f_clean, 301	正 欲 现出 本相 ， 掣出 金箍棒 ，	打	将 出去 ， 却 又 转念 一想 ： “ 且慢 ， 师父
qw_f_clean, 301	师父 还 在 里面 。 若 我 此时	打	出去 ， 惊 了 那 妖精 ， 伤 了 师父 性命 ，
qw_f_clean, 317	这 呆子 ， 还 不快 现出 本相 ，	打	那 妖精 ！ ” 八戒 道 ： “ 大 师姐 ， 你
qw_f_clean, 318	这 等 美貌 的 姐姐 ， 怎 舍得	打	？ 待 老猪 去 与 她们 说说话 ， 劝 她们 从良 ，
qw_f_clean, 331	正 欲 现出 本相 ， 掣出 金箍棒 ，	打	将 出去 ， 却 又 转念 一想 ： “ 且慢 ， 那
qw_f_clean, 331	丝线 甚 是 厉害 ， 若 我 此时	打	出去 ， 伤 了 八戒 性命 ， 却 如何是好 ？ 须得先 探探
qw_f_clean, 345	掣 出 金箍棒 ， 向 那 七个 女妖精	打	去 。 那 七个 女妖精 ， 见 悟空 打 来 ， 忙吐出
qw_f_clean, 346	去 。 那 七个 女妖精 ， 见 悟空	打	来 ， 忙吐出 丝线 ， 向 悟空 缠来 。 悟空 见状 ，
qw_f_clean, 378	“ 这 泼妇 ， 好生 无礼 ！ 竟敢	打	俺 老孙 的 主意 ！ 俺 老孙 可是 石头缝 里 蹦出来 的
qw_f_clean, 396	你 这 妖精 ， 好生 无礼 ！ 竟敢	打	俺 老孙 的 主意 ！ ” 她 嘻嘻 一笑 ， 道 ：
qw_f_clean, 412	正 欲 现出 本相 ， 掣出 金箍棒 ，	打	将 出去 ， 却 又 转念 一想 ： “ 且慢 ， 这
qw_f_clean, 450	， 忙 举起 钉耙 ， 向 那 白骨	打	去 。 那 白骨 见状 ， 便 化作 一阵 阴风 ， 向
qw_f_clean, 463	师父 ， 那 妖精 已 被 大 师姐	打	跑 了 。 ” 唐僧 闻言 ， 便 合掌 道 ： “
qw_m_clean, 16	， 八戒 也 慌了手脚 ， 举起 钉耙 便	打	。 沙僧 急忙 放下 担子 ， 抽出 降妖 宝杖 ， 护住 唐僧
qw_m_clean, 19	砸 了 下来 ， 几个 小妖 瞬间 被	打	得 脑浆 迸裂 。 “ 大 师兄 ！ ” 八戒 和 沙僧
qw_m_clean, 34	的 对手 ？ 不多时 ， 便 被 悟空	打	得 节节败退 。 “ 看棒 ！ ” 悟空 大喝一声 ， 金箍棒 化作
qw_m_clean, 56	腹痛 。 ” 三藏 闻言 甚喜 ， 却	打	白马 ， 不 一时 ， 到 了 村舍 门口 下马 。 但
qw_m_clean, 59	一包 堕胎 的 药 吃 ， 把 胎	打	下来 罢 。 ” 那婆子 道 ： “ 就是 有药 也 不济事
qw_m_clean, 64	泼道 ！ 快 开门 ！ 不然 ， 老孙	打	将 进去 ！ ” 那真仙 在 门内 道 ： “ 你 这
qw_m_clean, 65	， 忙取 了 钵盂 ， 潜入 洞中 ，	打	了 满满 一 钵盂 泉水 ， 飞奔 回 村舍 。 行者 见
qw_m_clean, 153	八戒 发狠 道 ： “ 哥哥 ， 去	打	那 泼 贱 去 ！ ” 星 官道 ： “ 正是 ，
qw_m_clean, 157	行者 在 旁 ， 又 使 铁棒 来	打	。 那怪 赶至 身边 ， 要 下毒手 ， 他 两个 识 得
qw_m_clean, 230	七个 女子 ， 把 他 困住 ， 不	打	他 ， 也 不伤 他 ， 纷纷 跳出 门去 ， 将 丝篷
