Reference	LeftContext	Pivot	RightContext
feminin, 19	在 桌上 ， 桌旁 坐 着 一个 中年	女子	和 一个 十来 岁 的 小姑娘 ， 想 是 老妇人 的 女儿
feminin, 24	需要 什么 ， 随时 应声 。 那 中年	女子	手脚 麻利 ， 不多时 便 张罗 了 一桌 饭食 ， 虽 是
feminin, 28	心来 。 沙僧 在 门口 被 那 中年	女子	请进来 坐 ， 她 坚持 不肯 ， 那 女子 便 给 她
feminin, 28	请进来 坐 ， 她 坚持 不肯 ， 那	女子	便 给 她 盛 了 碗 粥 端过来 ， 沙僧 接 了
feminin, 40	。 " 吃 罢 饭 ， 那 中年	女子	将 厢房 收拾 出来 ， 铺 了 被褥 ， 请 几人 安歇
feminin, 88	山沟 里 摇身一变 ， 变成 个 美貌 的	女子	， 左手 提 着 一个 青砂 罐儿 ， 右手 提 着 一个
feminin, 89	伸长 脖子 往 那边 张望 ， 只见 一个	女子	裊裊 婷婷 地 走来 ， 生得 眉如 远山 ， 眼含 秋水 ，
feminin, 91	咳 了 一声 ， 目光 不曾 在 那	女子	身上 停留 ， 却 已 微 蹙 了 眉头 ， 心中 隐隐
feminin, 91	说 此处 旷野 无人 ， 却 有 一	女子	独自 行走 ， 这 … … 委实 有些 奇异 。 " 说话
feminin, 92	有些 奇异 。 " 说话 间 ， 那	女子	已 走近 了 ， 盈盈 向 唐僧 一福 ， 声音 软 糯
feminin, 93	不足为奇 ， 随即 又 把 注意力 放回 那	女子	脸上 去 了 。 唐僧 合十 ， 温 声道 ： " 阿弥陀佛
feminin, 96	， 目光 一扫 ， 便 看见 了 那个	女子	。 她 脸上 的 笑意 未及 消散 ， 眼神 却 倏地 变
feminin, 96	她 火眼金睛 ， 哪里 看不出来 — — 那	女子	周身 阴气森 森 ， 皮囊 之下 骨影 幢幢 ， 分明 是 一个
feminin, 98	， 哪里 来 的 姑娘 ？ " 那	女子	见 悟空 落下来 ， 心中 暗暗 一惊 ， 却 面不改色 ， 反而
feminin, 100	看 悟空 ， 又 看 了 看 那	女子	， 神色 之间 有 几分 迟疑 ， 却 还是 起身 ， 往
feminin, 104	沉默 了 一瞬 ， 她 望 着 那	女子	， 只见 她 低着头 ， 一副 温顺 柔弱 的 模样 ， 心中
feminin, 106	看着 。 " 她 大踏步 走 回 那	女子	跟前 ， 手里 金箍棒 已 捏 得 发白 ， 脸上 却 挂
feminin, 107	， 可否 让 老孙 看看 ？ " 那	女子	神色 不变 ， 从容 地 将 青砂 罐递 了 过来 ， 道
feminin, 112	看见 的 ， 终究 只是 一个 倒地 的	女子	， 而 非 什么 骷髅 妖怪 。 唐僧 目瞪口呆 地 看着 地上
feminin, 116	便是 妖怪 ？ 那 分明 是 个 良善	女子	， 手里 提 着 斋饭 ， 你 却 … … 你 却
feminin, 118	平日 里 的 直爽 ， 大约 是 那	女子	的 相貌 还 在 她 脑海 里 留 着 影子 ， 让
feminin, 146	阴云 翻滚 ， 骨架 之下 和 方才 那	女子	一般无二 ， 分明 是 同一个 妖怪 又 一次 乔装 。 她 的
feminin, 179	那种 若有若无 的 阴冷 气息 — — 那	女子	、 那 老妪 、 还有 如今 这 老翁 ， 身上 都 有着
feminin, 205	， 门里 已 走出 几个 衙役 打扮 的	女子	， 公服 整齐 ， 腰 佩刀 剑 ， 面色 肃然 ， 当中
feminin, 250	" 时 的 语气 ， 是 这 满国	女子	在 这片 与世隔绝 的 土地 上 日复一日 的 生存 ， 那 其中
feminin, 364	一个 男人 也 见 不到 ， 只有 四个	女子	。 想 退回去 吧 ， 又 怕 徒弟 笑话 自己 连个 斋
feminin, 364	木香 亭子 ， 亭子 下 又 有 三个	女子	在 那里 踢球 。 三藏 看 了 一会儿 ， 只得 高声 叫
feminin, 364	在 这里 化些 斋 吃 。 " 那些	女子	听见 ， 一个个 欢欢喜喜 走上 前 来说 ： " 长老 ， 失迎
feminin, 364	善哉 ！ 善哉 ！ 西方 正是 佛地 ，	女子	都 这么 好 ， 心地 虔诚 ， 可见 此地 民风 淳厚 。
feminin, 365	虔诚 ， 可见 此地 民风 淳厚 。 一个	女子	上前 ， 把 石头 门 推开 两扇 ， 请 唐僧 里面 坐
feminin, 365	少 吉多 凶 ， 断然 不善 。 "	女子	笑嘻嘻 地问 ： " 长老 ， 从何而来 ？ " 唐僧 道 ：
feminin, 365	这里 ， 化些 斋 吃 。 " 众	女子	说 ： " 好 ， 好 ， 好 ！ 常言道 ： '
feminin, 366	， 快办 斋 来 。 " 那 几个	女子	张罗 着 去 办斋 ， 脚步 轻快 ， 声音 叽叽喳喳 的 ，
feminin, 369	等 那 斋饭 。 不多时 ， 其中 一个	女子	端 了 一只 粗陶碗 过来 ， 笑 道 ： " 长老 ，
feminin, 370	， 却 迟迟 没有 动筷 — — 那	女子	退下去 的 脚步声 ， 落 在 这 石室里 ， 回响 得 有些
feminin, 371	。 她 轻轻 抬眼 ， 往 那 几个	女子	身上 再 看 了 一看 。 方才 在 外头 ， 只 觉得
feminin, 374	脚步声 ， 轰然 而 来 ， 那 几个	女子	同时 转过 脸去 ， 脸上 的 笑 收 了 ， 换上 一种
